imageName bonchar.png
name Bonchar
description Fire breathing dog that apparently crawled out of a dumpster
holoType FIRE
moveset Flare1 Sideswipe6
baseStats hp50 attack40 defense40 specialattack65 specialdefense55 speed70
catchRate 50

imageName aquander.png
name Aquander
description Salamander that is highly adept in freshwater combat
holoType WATER
moveset Sideswipe1
baseStats hp60 attack40 defense60 specialattack45 specialdefense55 speed60
catchRate 50

imageName splintree.png
name Splintree
description Dangerous, violent plant that shoots wood splinters at passerby
holoType GRASS
moveset Leafcutter1
baseStats hp60 attack70 defense55 specialattack40 specialdefense45 speed50
catchRate 50
